Date,Site,PAR,ST,SS,Pr,NEE
1-May-13,SL,1974.53,13.87,32.00,1027.00,-0.79
1-May-13,SL,1967.45,14.53,30.00,1027.00,-0.18
1-May-13,SL,1956.20,14.39,32.00,1027.00,-0.65
1-May-13,SL,1809.33,13.59,32.00,1027.00,-0.17
1-May-13,SL,1764.33,16.40,33.00,1027.00,-1.70
1-May-13,SL,1752.45,16.77,32.00,1027.00,-1.23
1-May-13,SL,1551.83,17.96,33.00,1027.00,-1.69
3-May-13,GP,769.95,10.99,35.00,1027.00,-0.89
3-May-13,GP,753.70,11.18,35.00,1027.00,-1.04
3-May-13,GP,723.70,10.93,34.00,1027.00,-0.78
3-May-13,EP,909.33,12.69,37.00,1026.00,-1.14
3-May-13,EP,898.70,12.22,37.00,1026.00,-1.18
3-May-13,EP,1291.83,13.07,36.00,1026.00,-1.59
3-May-13,EP,982.45,13.40,38.00,1026.00,-0.78
17-May-13,SL,1987.87,14.89,33.00,1013.00,-3.00
17-May-13,SL,2003.70,14.27,35.00,1013.00,-2.92
17-May-13,SL,1780.37,14.75,36.00,1013.00,-1.76
17-May-13,SL,1781.20,16.31,35.00,1013.00,-5.25
17-May-13,SL,1667.45,16.13,31.00,1013.00,-5.22
17-May-13,SL,1562.03,18.95,33.00,1013.00,-4.48
17-May-13,SL,884.53,16.18,36.00,1014.00,-2.68
17-May-13,SL,1318.70,15.89,35.00,1014.00,-2.60
17-May-13,SL,893.70,17.35,34.00,1014.00,-1.65
20-May-13,EP,913.70,15.82,37.00,1015.00,-4.44
20-May-13,EP,818.70,15.67,35.00,1015.00,-4.16
20-May-13,EP,634.53,15.94,40.00,1014.00,-3.10
20-May-13,GP,1723.70,18.59,40.00,1011.00,-3.47
20-May-13,GP,1637.03,17.44,34.00,1011.00,-3.42
20-May-13,GP,1614.53,17.30,33.00,1011.00,-2.63
21-May-13,HP,1703.70,20.33,26.00,1009.00,-5.90
21-May-13,HP,1662.87,19.37,25.00,1008.00,-6.04
21-May-13,HP,1617.03,19.30,25.00,1008.00,-6.27
21-May-13,HP,1560.37,18.58,25.00,1008.00,-5.29
5-Jun-13,SL,2080.37,20.52,25.00,1019.00,-12.17
5-Jun-13,SL,2062.45,18.07,24.00,1019.00,-11.48
5-Jun-13,SL,1998.70,18.67,26.00,1018.50,-9.31
5-Jun-13,SL,1819.95,18.80,21.00,1018.00,-10.77
5-Jun-13,SL,2039.95,19.03,21.00,1018.00,-9.35
5-Jun-13,SL,1284.53,19.28,20.00,1018.00,-8.17
4-Jun-13,GP,1879.33,16.99,10.00,1009.00,-9.33
4-Jun-13,GP,1904.33,17.18,25.00,1009.00,-7.69
4-Jun-13,GP,1932.45,17.13,25.00,1010.00,-8.37
4-Jun-13,HP,2093.08,18.87,26.00,1010.00,-10.85
4-Jun-13,HP,1981.20,19.62,20.00,1010.00,-11.30
4-Jun-13,HP,1844.33,19.55,15.00,1010.00,-11.62
4-Jun-13,HP,1683.70,19.79,26.00,1010.00,-9.64
6-Jun-13,EP,1204.95,22.09,31.00,1018.00,-7.40
6-Jun-13,EP,1897.45,21.17,32.00,1018.00,-10.12
6-Jun-13,EP,1121.83,21.29,30.00,1018.00,-9.42
6-Jun-13,EP,1189.20,22.37,32.00,1018.00,-7.48
17-Jun-13,GP,1211.83,22.37,29.00,1008.00,-10.85
17-Jun-13,GP,1149.33,23.85,24.00,1008.00,-10.59
17-Jun-13,GP,728.70,23.59,24.00,1008.00,-7.88
18-Jun-13,HP,1984.33,20.06,22.00,1010.00,-13.04
18-Jun-13,HP,1894.95,20.33,20.00,1010.00,-13.06
18-Jun-13,HP,1427.45,21.43,20.00,1010.00,-16.52
18-Jun-13,HP,1962.45,20.55,20.00,1010.00,-13.41
19-Jun-13,SL,1851.20,20.07,28.00,1012.00,-9.37
19-Jun-13,SL,1871.20,19.94,29.00,1012.00,-6.61
19-Jun-13,SL,1862.45,20.04,26.00,1012.00,-8.30
19-Jun-13,SL,1909.95,19.75,26.00,1012.00,-8.42
19-Jun-13,SL,1973.70,20.40,27.00,1012.00,-8.96
19-Jun-13,SL,1893.08,20.13,27.00,1012.00,-9.23
19-Jun-13,SL,2042.03,20.37,26.00,1012.00,-10.81
19-Jun-13,SL,2058.70,20.97,28.00,1012.00,-12.04
19-Jun-13,SL,1965.37,20.64,28.00,1012.00,-9.00
10-Jul-13,SL,1876.20,25.12,28.00,1012.00,-16.15
10-Jul-13,SL,1148.70,24.77,28.00,1012.00,-13.14
10-Jul-13,SL,1342.45,24.87,30.00,1012.00,-12.35
10-Jul-13,SL,1923.70,25.41,28.00,1012.00,-14.81
10-Jul-13,SL,1018.70,25.26,29.00,1012.00,-12.11
10-Jul-13,SL,1804.95,26.10,28.00,1011.00,-16.93
10-Jul-13,SL,1941.20,25.60,30.00,1011.00,-17.10
1-Aug-13,GP,1948.70,23.99,31.00,1013.00,-14.91
1-Aug-13,GP,1987.03,24.27,30.00,1013.00,-14.16
13-Aug-13,GP,425.37,22.05,33.00,1008.00,-3.44
13-Aug-13,GP,434.12,21.76,31.00,1008.00,-3.74
13-Aug-13,GP,512.70,21.71,34.00,1008.00,-4.79
14-Aug-13,SL,1847.45,21.63,30.00,1004.00,-10.22
14-Aug-13,SL,1862.87,21.47,30.00,1004.00,-7.37
14-Aug-13,SL,1879.95,21.90,30.00,1004.00,-9.50
14-Aug-13,SL,1907.03,22.52,30.00,1004.00,-8.52
14-Aug-13,SL,1923.70,22.31,31.00,1004.00,-9.68
14-Aug-13,SL,1928.70,22.04,30.00,1004.00,-12.64
15-Aug-13,EP,1514.95,20.53,34.00,1016.00,-7.83
15-Aug-13,EP,1564.95,20.03,33.00,1016.00,-7.78
15-Aug-13,EP,1614.53,21.17,32.00,1016.00,-6.83
15-Aug-13,EP,1657.03,20.89,30.00,1016.00,-6.84
15-Aug-13,HP,1859.53,21.63,30.00,1015.00,-7.98
15-Aug-13,HP,1819.33,21.39,30.00,1015.00,-6.20
15-Aug-13,HP,1797.03,21.45,32.00,1015.00,-7.35
15-Aug-13,HP,1677.87,21.25,33.00,1015.00,-5.31
17-Sep-13,SL,1244.70,17.22,34.00,1025.00,-2.05
17-Sep-13,SL,1154.33,17.73,32.00,1025.00,-1.92
17-Sep-13,SL,1071.83,16.92,32.00,1025.00,-1.89
24-Sep-13,HP,1242.45,14.15,29.00,1010.00,-0.41
24-Sep-13,HP,1356.20,14.73,29.00,1010.00,-0.48
24-Sep-13,HP,1540.13,14.78,30.00,1009.00,-0.82
24-Sep-13,HP,1589.41,15.16,30.00,1009.00,-1.01
25-Sep-13,SL,1549.26,17.06,32.00,1009.00,-3.13
25-Sep-13,SL,1643.39,16.36,32.00,1009.00,-2.41
25-Sep-13,SL,1333.70,16.43,33.00,1009.00,-3.70
25-Sep-13,SL,1466.62,16.01,32.00,1009.00,-3.18
25-Sep-13,SL,1407.87,16.74,33.00,1009.00,-3.18
25-Sep-13,SL,1367.70,16.96,31.00,1009.00,-2.85
25-Sep-13,SL,1233.08,17.22,32.00,1009.00,-2.03
25-Sep-13,SL,1114.95,17.27,32.00,1009.00,-2.28
26-Sep-13,GP,481.56,15.79,32.00,1014.00,-0.59
26-Sep-13,GP,1267.87,15.76,33.00,1014.00,-1.75
26-Sep-13,GP,1034.53,15.52,32.00,1014.00,-1.76
26-Sep-13,EP,1305.70,17.03,35.00,1014.00,-1.46
26-Sep-13,EP,393.08,17.01,35.00,1014.00,-0.65
15-Oct-13,EP,1388.25,14.70,35.00,1021.00,-1.04
15-Oct-13,EP,1392.87,13.88,34.00,1021.00,-0.89
15-Oct-13,EP,1383.34,14.48,36.00,1021.00,-1.52
15-Oct-13,EP,1364.84,14.55,32.00,1020.00,-0.75
15-Oct-13,HP,543.20,14.31,32.00,1019.00,-0.16
15-Oct-13,HP,414.45,14.60,33.00,1019.00,-0.18
16-Oct-13,SL,478.51,15.26,32.00,1012.00,-0.26
16-Oct-13,SL,375.45,15.08,32.00,1012.00,-0.11
16-Oct-13,SL,451.20,15.03,33.00,1012.00,-0.32
16-Oct-13,SL,303.70,14.80,32.00,1012.00,-0.17
17-Oct-13,GP,744.77,16.40,32.00,1007.00,-1.18
17-Oct-13,GP,686.20,16.84,31.00,1007.00,-1.57
17-Oct-13,GP,673.70,16.51,32.00,1007.00,-1.91
29-Oct-13,SL,1306.20,9.13,32.00,1025.00,-0.22
29-Oct-13,SL,1284.33,8.89,32.00,1025.00,-0.24
29-Oct-13,SL,1284.41,9.11,33.00,1025.00,-0.38
29-Oct-13,SL,1273.28,9.42,35.00,1025.00,-0.50
29-Oct-13,SL,1259.70,9.20,36.00,1025.00,-0.67
29-Oct-13,SL,1183.70,9.40,34.00,1024.00,-0.34
29-Oct-13,SL,415.70,9.78,34.00,1025.00,-0.09
29-Oct-13,SL,467.03,9.88,34.00,1025.00,-0.21
29-Oct-13,SL,353.39,10.10,33.00,1025.00,-0.05
30-Oct-13,GP,422.45,9.56,34.00,1025.00,-0.44
30-Oct-13,GP,518.70,9.48,32.00,1025.00,-0.46
30-Oct-13,GP,525.84,9.58,32.00,1025.00,-0.43
